,Name,Explanation,Action,Commonly known as,Abbrevations,See also,
,Rabies,"Rabies is a viral disease that causes acute encephalitis in warm-blooded animals. The disease is zoonotic and almost invariably fatal if postexposure prophylaxis is not administered prior to the onset of severe symptoms. Rabies causes about 55,000 human deaths annually worldwide. 95% of human deaths due to rabies occur in Asia and Africa. Roughly 97% of human rabies cases result from dog bites. The British Isles, New Zealand and Australia are virtually the only areas worldwide where rabies is not found.
It is the most common form of disease transmission by organ, tissue or eye donors.
Early stage symptoms of malaise, headache and fever can be confused with the flu (and therefore often overlooked). The incubation period of the disease is usually a few months in humans, depending on the distance the virus must travel to reach the central nervous system - It is extremely important to consider foreign travel and any history of bites or scratches from animals so as to identify a risk of rabies as distinct from flu-like symptoms. Failure to do this in the past has been the key factor in the transmission of the disease from donor to recipient.
","Must not donate
Immunisation Post-exposure:
Must not donate until at least 12 months post exposure and fully cleared by treating physician.
Accept immunisation pre-exposure
",,,"Immunisation -  Non-live, See ""Bite"" if relevant, Consider foreign travel",
,Radiation Therapy,,Accept if the eyes were not included in the field of irradiation,Radiotherapy,"RT, RTx, XRT,","Basal Cell Carcinoma
Malignancy
",
,Raynaud's Syndrome,"Terminology is important:
Raynaud's syndrome (secondary Raynaud's), is where Raynaud’s phenomenon (see below), is caused by a known instigating factor, most commonly connective tissue disorders such as systemic lupus erythematosus.
Raynaud's phenomenon is excessively reduced blood flow in response to cold or emotional stress, causing discoloration of the fingers, toes, and occasionally other areas. Raynaud's phenomenon includes Raynaud's disease (also known as primary Raynaud's phenomenon) where the cause is unknown, and Raynaud's syndrome (secondary Raynaud's) discussed above.
",Consider if part of a multisystem disorder and see if there is an Entry,,,Systemic Lupus Erythematosus,
,Refractive Error (Vision),"A refractive error, or refraction error, is an error in the focusing of light by the eye and a frequent reason for reduced visual acuity.
Types of refractive error:
Myopia: 
When the optics are too powerful for the length of the eyeball one has myopia or nearsightedness. This can arise from a cornea with too much curvature (refractive myopia) or an eyeball that is too long (axial myopia). Myopia can easily be corrected with a concave lens which causes the divergence of light rays before they reach the retina.
Hyperopia: 
When the optics are too weak for the length of the eyeball, one has hyperopia or farsightedness. This can arise from a cornea with not enough curvature (refractive hyperopia) or an eyeball that is too short (axial hyperopia). This can be corrected with convex lenses which cause light rays to converge prior to hitting the retina.
Astigmatism:
 People with a simple astigmatic refractive error see contours of a particular orientation as blurred, but see contours with orientations at right angles as clear. When one has a cylindrical error, one has astigmatism. This is caused by a deviation in the shape of the cornea, a shape other than spherical. This defect can be corrected with refracting light more in one area of the eye than the other. Cylindrical lenses serve this purpose.
Presbyopia: When the flexibility of the lens declines typically due to age. Individual would experience difficulty in reading etc. This causes the individual to need visual assistance such as bifocal lenses.
Only Astigmatism involves the cornea but the degree of corneal shape deviation is usually not great enough to affect suitability for transplantation.
",Accept,"Short sighted, long sighted, farsightedness, nearsightedness, myopia, hyperopia, astigmatism, presbyopia",,"Glasses
Laser Treatment
Refractive Surgery
",
,Refractive Surgery,"Radial keratotomy (RK) 
Is a refractive surgical procedure to correct myopia that was developed in 1974, by Svyatoslav Fyodorov, a Russian ophthalmologist. It has been largely supplanted by newer operations, such as photorefractive keratectomy and LASIK. In RK, incisions are made with a diamond knife. Incisions are made quite deep (up to 90% of corneal thickness). Thus these corneas are not even suitable for endothelial keratoplasty.
Intrastromal corneal rings (or intracorneal rings)
Are small crescent or semi-circular shaped ring segments between the layers of the corneal stroma to correct vision.  Considering their placement in the cornea they make the cornea unsuitable for transplant purposes.
Laser surgery
Involves only the anterior segment of the cornea and will not affect the posterior segment. Corneas that have undergone refractive surgery should not be used for penetrating keratoplasty or anterior keratoplasty due to concerns about structural integrity of the cornea. However, these corneas should be suitable for posterior keratoplasty although there needs to be an awareness of the refractive procedure to avoid any concerns or complications during the donor cornea cutting process.
","Must not donate if:
a) Radial keratotomy (Russian operation)
b) Intra-stromal rings (Intac surgery)
Accept 
for only endothelial keratoplasty (posterior corneal transplantation)laser eye surgery for refractive error: 
a) Photorefractive keratectomy (PRK)
b) Laser-Assisted Sub-Epithelial Keratectomy (or Laser Epithelial Keratomileusis) (LASEK or LASIK)

","Laser eye surgery, LASIK,","RK, LASIK, PRK",,
,Renal disease,,,,,Kidney Disease,
,Respiratory Disease,"Includes: Asthma
Chronic Obstructive Airways Disease
Cystic Fibrosis
",,,"COPD, CF","Infection - General, Steroid Therapy",
,Retinitis Pigmentosa,"Retinitis pigmentosa (RP) is an inherited, degenerative eye disease that causes severe vision impairment and often blindness. RP is caused by abnormalities of the photoreceptors (rods and cones) or the retinal pigment epithelium (RPE) of the retina leading to progressive sight loss.
It does not affect the cornea or sclera of the eye and thus donation is acceptable.
",Accept,,RP,,
,Reyes Syndrome,"Reye's syndrome is a potentially fatal disease that has numerous detrimental effects to many organs, especially the brain and liver, as well as causing hypoglycaemia. The classic features are a rash, vomiting, and liver damage. The disease causes fatty liver with minimal inflammation and severe encephalopathy.
The exact cause is unknown and, while it has been associated with aspirin consumption by children with viral illness, it also occurs in the absence of aspirin use.
",Must not donate,,,,
,Rheumatic Fever,"Rheumatic fever is an inflammatory disease that occurs following a Streptococcus pyogenes infection, such as streptococcal pharyngitis. Believed to be caused by antibody cross-reactivity that can involve the heart, joints, skin, and brain, the illness typically develops two to three weeks after a streptococcal infection.
The illness is so named because of its similarity in presentation to rheumatism.
",Accept,,,,
,Rheumatoid Arthritis,"Rheumatoid arthritis (RA) is an autoimmune disease that results in a chronic, systemic inflammatory disorder that may affect many tissues and organs, but principally attacks flexible (synovial) joints.
The eye can be affected in the form of episcleritis which when severe can very rarely progress to perforating scleromalacia. Rather more common is the indirect effect of keratoconjunctivitis sicca, which is a dryness of eyes and mouth caused by lymphocyte infiltration of lacrimal and salivary glands. When severe, dryness of the cornea can lead to keratitis or ulceration of the cornea.
",Accept if no ocular involvement,,RA,,
,River Blindness,,,,,Onchocerciasis,
,Ross River Fever,"Ross River Fever is a mosquito-borne infectious disease caused by infection with the Ross River virus. The illness is typically characterised by an influenza-like illness and polyarthritis. The virus is endemic to Australia, Papua New Guinea, Fiji, Samoa, the Cook Islands, New Caledonia and several other islands in the South Pacific.
The virus is not contagious and is spread only by mosquitoes. The main reservoir hosts are kangaroos and wallabies, although horses, possums and possibly birds and flying foxes play a role.
Symptoms of the disease may vary widely in severity, but major indicators are arthralgia, arthritis, fever, and rash. The incubation period is 7–9 days.
",,,,"Infection – Acute
Arthropod Borne Encephalitis (Arbovirus)
",
,Rubella - Acute Infection,"Rubella, also known as German measles, is a disease caused by the rubella virus. The disease is often mild and attacks often pass unnoticed. The disease can last one to three days.
Infection of the mother by Rubella virus during pregnancy can be serious; if the mother is infected within the first 20 weeks of pregnancy, the child may be born with congenital rubella syndrome (CRS), which entails a range of serious incurable illnesses. Spontaneous abortion occurs in up to 20% of cases.
Acquired (i.e. not congenital) rubella is transmitted via airborne droplet emission from the upper respiratory tract of active cases. The virus may also be present in the urine, faeces and on the skin. There is no carrier state: the reservoir exists entirely in active human cases. The disease has an incubation period of 2 to 3 weeks.
",Must not donate until the infection is considered to have completely resolved,German measles,,"Infection - Acute, Rubella - Congenital",
,Rubella - Contact with,,,,,Infection - Contact with,
,Rubella - Congenital,"Infection of the mother by Rubella virus during pregnancy can be serious; if the mother is infected within the first 20 weeks of pregnancy, the child may be born with congenital rubella syndrome (CRS), which entails a range of serious incurable illnesses. Spontaneous abortion occurs in up to 20% of cases.
The classic triad for congenital rubella syndrome is:
Sensorineural deafness (58% of patients)
Eye abnormalities—especially retinopathy, cataract and microphthalmia (43% of patients)
Congenital heart disease—especially patent ductus arteriosus (50% of patients)
For organs and tissues other than eyes, and if there is no other contraindication, donation is acceptable.
",Must not donate,,CRS,,
,Rubella - Immunisation,,,,,Immunisation - Live,
,Salpingitis,"Salpingitis is an infection and inflammation in the fallopian tubes. It is often used synonymously with pelvic inflammatory disease (PID), although PID lacks an accurate definition and can refer to several diseases of the female upper genital tract, such as endometritis, oophoritis, myometritis, parametritis and infection in the pelvic peritoneum",,Pelvic inflammatory disease ,PID,"Sexually transmitted diseases,  Infection - General",
,Sanfilippo Syndrome,"Sanfilippo syndrome, or Mucopolysaccharidosis III (MPS-III) is a rare autosomal recessive lysosomal storage disease. It is caused by a deficiency in one of the enzymes needed to break down the glycosaminoglycan heparan sulfate (which is found in the extra-cellular matrix and on cell surface glycoproteins).
Sanfilippo syndrome does not demonstrate corneal clouding grossly, but may have slit lamp evidence of clouding (which would be difficult to discern in a donated cornea). Hunter syndrome (another mucopolysaccharidoses) is similar in this respect. Other mucopolysaccharidoses (Hurler, Scheiee, Morquio and Maroteaux-Lamy Syndromes) all demonstrate progressive corneal clouding.
",Do not donate,Mucopolysaccharidosis III,MPS-III,Congenital disorders,
,Sarcoidosis,"Sarcoidosis, also called sarcoid, Besnier-Boeck disease or Besnier-Boeck-Schaumann disease, is a syndrome involving abnormal collections of chronic inflammatory cells (granulomas) that can form as nodules in multiple organs.
Manifestations in the eye include uveitis, uveoparotitis, and retinal inflammation, which may result in loss of visual acuity or blindness. The combination of anterior uveitis, parotitis, VII cranial nerve paralysis and fever is called uveoparotid fever, and is associated with Heerfordt-Waldenstrom syndrome.  Scleral nodule development associated with sarcoidosis has been observed.
The exact cause of is not known. The current working hypothesis is, in genetically susceptible individuals, sarcoidosis is caused through alteration to the immune response after exposure to an environmental, occupational, or infectious agent.
",Accept if no ocular involvement,"Sarcoid, Besnier-Boeck disease, Besnier-Boeck-Schaumann disease",,,
,SARS - Severe Acute Respiratory Syndrome,"Severe acute respiratory syndrome (SARS) is a viral respiratory disease of zoonotic origin caused by the SARS coronavirus (SARS-CoV).
Antibiotics are ineffective, as SARS is a viral disease. Treatment of SARS is largely supportive with antipyretics, supplemental oxygen and mechanical ventilation as needed.
It is still regarded as a relatively rare disease.
See: http://www.smartraveller.gov.au/zw-cgi/view/Advice/Index
","Must not donate if:
a) Less than 21 days from leaving as country to which the Department of Foreign Affairs and Trade or the Department of Health has advised deferring travel because there is, or is thought to be, ongoing transmission of SARS
b) Less than 21 days from last contact with a person with SARS
c) Less than 3 months since recovery form SARS or possible SARS
Accept if more than 21 days has passed since return from a SARS endemic area, or from last contact with a person affected by SARS and the donor has remained well.
",SARS,SARS,,link
,Schistosomiasis,"Schistosomiasis (also known as bilharzia, bilharziosis or snail fever) is a collective name of parasitic diseases caused by several species of trematodes belonging to the genus Schistosoma. Snails serve as the intermediary agent between mammalian hosts.
Although it has a low mortality rate, schistosomiasis often is a chronic illness that can damage internal organs and, in children, impair growth and cognitive development.
 Schistosomiasis is readily treated using a single oral dose of the drug praziquantel annually.
",,"Bilharzia, bilharziosis or snail fever",,Infection - Acute,
,Scleritis,"Scleritis is a serious inflammatory disease of the sclera. The disease is often contracted through association with other diseases of the body, such as Wegener's granulomatosis or rheumatoid arthritis; it can also be attained through disorders of menstruation. For this reason, scleritis occurs frequently among young women. There are three types of scleritis: diffuse scleritis (the most common), nodular scleritis, and necrotizing scleritis (the most severe). Scleritis may be the first symptom of onset of connective tissue disease.
In severe cases the cornea may be damaged. Secondary keratitis or uveitis may also occur.
",Must not donate,,,Inflammatory Eye Disease,
,Sex Change,"A man who has had his gender reassigned as a woman, who as a man, had not had high-risk sexual activity, can be accepted if, as a woman, they have had a sexual relationship with a man.","Accept if there are no sexual practices (within the past 12 months) that put the donor at increased risk of acquiring infectious diseases that can be transmitted by blood, cells or tissues",,,,
,Sexually Transmitted Diseases - Infection,"Includes: Chlamydia
Genital Warts
Gonorrhoea
Herpes – Genital
Syphilis
",Must not donate if less than 12 months from completing treatment,"Chlamydia
Genital Warts
Gonorrhoea
Herpes – Genital
Syphilis
",STD,"See:
Is there a specific entry for the disease?
",
,Sexually Transmitted Diseases - Sexual Partner,"Includes: Chlamydia
Genital Warts
Gonorrhoea
Herpes – Genital
Syphilis
","Must not donate if:
a) Donor required treatment and is less than 12 months since completing that treatment
b) Donor did not require treatment and it is less than 12 months from the last sexual contact with the infected partner.
Accept if the donor did not require treatment and it is more than 12 months since the infected partner has completed treatment.
","Chlamydia
Genital Warts
Gonorrhoea
Herpes – Genital
Syphilis
",STD,See if there is a specific entry for the disease with which there has been contact,
,Shingles,,,,,"Herpes – Ocular
Herpes Zoster
",
,Sicca,,,,,Keratoconjunctivitis Sicca,
,Sickle-Cell Disease,"Sickle-cell disease (SCD), or sickle-cell anaemia (SCA) or drepanocytosis, is a hereditary blood disorder, characterized by red blood cells that assume an abnormal, rigid, sickle shape.",Accept,,"SCD, SCA",,
,Sideroblastic Anaemia,"Sideroblastic anaemia or sideroachrestic anaemia is a disease in which the bone marrow produces ringed sideroblasts rather than healthy erythrocytes. It may be caused either by a genetic disorder or indirectly as part of myelodysplastic syndrome, which can evolve into haematological malignancies (especially acute myelogenous leukaemia).",Must not donate,,,Myelodysplastic Syndrome,
,Skin Cancer,,,,,Malignancy,
,Skin Disease,,Accept,,,"Acne
Dermatitis
Infection – General
Malignancy
Psoriasis
",
,Sjögren's syndrome,"Sjögren's syndrome is a systemic autoimmune disease in which immune cells attack and destroy the exocrine glands that produce tears and saliva. It is named after Swedish ophthalmologist Henrik Sjögren (1899–1986), who first described it. 90% of Sjogren’s patients are women. 
The hallmark symptom of Sjögren's syndrome is a generalized dryness, typically including xerostomia (dry mouth) and keratoconjunctivitis sicca (dry eyes), part of what are known as sicca symptoms. Sicca syndrome also incorporates vaginal dryness, chronic bronchitis and lacks signs of arthritis. Sjögren's syndrome may cause skin, nose, and vaginal dryness, and may affect other organs of the body, including the kidneys, blood vessels, lungs, liver, pancreas, peripheral nervous system (distal axonal sensorimotor neuropathy) and brain.
Objective evidence of eye involvement relies on Schirmer's test and the Rose bengal score (or similar).
Sjögren's can damage vital organs of the body with symptoms that may plateau or worsen, or go into remission as with other autoimmune diseases. Some people may experience only the mild symptoms of dry eyes and mouth, while others have symptoms of severe disease.
",Determine the extent of any sicca symptoms and see Keratoconjunctivitis sicca,,,"Autoimmune Disorders
Keratoconjunctivitis sicca
",
,Sleeping Sickness,,,,,African Trypanosomiasis,
,Smallpox Immunisation,"Small pox immunisation is with live virus. By eight weeks, the infection caused by the inoculation should have been controlled. If the wound has not healed it is possible that there still may be infection present.
Close contacts of vaccines (household or direct bodily contact) may become secondarily infected from direct skin contact with an infected inoculation site or from virus on clothing, bedding, dressings etc. If infection occurs, a new skin rash, blister or sore appears at the site of contact, which could be anywhere on the body. The rash represents a secondary vaccination site and presents exactly the same potential risk to patients and staff as that of a person who has been intentionally immunised.
","Must not donate if:
a) The inoculation site has not fully healed
b) Any secondarily infected site has not healed
c) Less than 8 weeks from inoculation or from the appearance of any secondarily infected site.
",,,,
,South American Trypanosomiasis (and risk of):,,Accept for corneas not for sclera,,,Chaga's Disease,
,Spectacles,,,,,Glasses,
,Spherocytosis,,,,,Hereditary Spherocytosis,
,Squamous Cell Carcinoma,,,,,Malignancy,
,Steroid Therapy,See if there is an entry for the underlying condition. Steroid therapy in high doses causes immunosuppression.  At these doses there is a theoretical issue of whether immunosuppressive doses can mask the results of mandatory serological testing. If possible NAT testing in these instances may be warranted.,Accept if not on an immunosuppressive dose and the underlying condition being treated is acceptable.,,,"See if there is an entry for the underlying condition. Autoimmune Disorders
Immunosuppression
Skin Disease
",
,Subacute sclerosing panencephalitis (SSPE),"Also known as Dawson Disease, Dawson encephalitis, and measles encephalitis is a rare and chronic form of progressive brain inflammation caused by a persistent infection with measles virus (which can be a result of a mutation of the virus itself). The condition primarily affects children and young adults. It has been estimated that about 1 in 10,000 people infected with measles will eventually develop SSPE. No cure for SSPE exists and the condition is often fatal.
Characterized by a history of primary measles infection usually before the age of 2 years, followed by several asymptomatic years (6–15 on average), and then gradual, progressive psychoneurological deterioration, consisting of personality change, seizures, myoclonus, ataxia, photosensitivity, ocular abnormalities, spasticity, and coma.
SSPE is a rare condition, although there is still relatively high incidence in Asia and the Middle East. However, the number of reported cases is declining since the introduction of the measles vaccine—eradication of the measles virus prevents the SSPE mutation and therefore the progression of the disease or even the initial infection itself.
",Must not donate,"Dawson Disease, Dawson encephalitis, and measles encephalitis",SSPE,Measles,
,Syphilis,"Syphilis is a sexually transmitted infection caused by the spirochete bacterium Treponema pallidum subspecies pallidum. The primary route of transmission is through sexual contact. It is transmissible by kissing near a lesion, as well as oral, vaginal, and anal sex. It is highly infectious with approximately 30 to 60% of those exposed to primary or secondary syphilis contracting the disease.
The interpretation of syphilis testing is often difficult and may require an experienced microbiologist to help make a decision on safety. Blood tests are divided into nontreponemal and treponemal tests. Clinically, nontreponemal tests are used initially, and include venereal disease research laboratory (VDRL) and rapid plasma reagin (RPR) tests. However, false positives on the nontreponemal tests can frequently occur (especially with some viral infections such as varicella and measles, as well as with lymphoma, tuberculosis, malaria, endocarditis, connective tissue disease, and pregnancy). In these cases confirmation is required with a treponemal test, such as treponemal pallidum particle agglutination (TPHA) or fluorescent treponemal antibody absorption test (FTA-Abs). Treponemal antibody tests usually become positive two to five weeks after the initial infection.
","Must not donate
Accept if fully treated in the past and tests exclude recent infection.
",Treponema pallidum subspecies pallidum,,,
,Syphilis - Sexual Contact,,,,,Sexually Transmitted Diseases,
,Systemic Lupus Erythematosus,"Systemic lupus erythematosus often abbreviated to SLE or lupus, is a systemic autoimmune disease (or autoimmune connective tissue disease) that can affect any part of the body. It may manifest as a systemic disease (SLE) which is the more common form, or in a purely cutaneous form also known as incomplete lupus erythematosus, more often referred to a just ”Lupus”. Sequelae arising from SLE are more serious and can be life-threatening.
There is no one specific cause of SLE. There are, however, a number of environmental triggers and a number of genetic susceptibilities. Research has failed to find a connection between infectious agents (viruses and bacteria), with no pathogen that can be consistently linked to the disease.
Whilst SLE has widespread systemic manifestations and pathologies it does it does not affect the cornea.
",Accept,Lupus,SLE,Autoimmune Disorders,
,Tattoo,,,,,Body Piercing,
,Temporal Arteritis,"Temporal arteritis is inflammation and damage to blood vessels that supply the head area, particularly the large or medium arteries that branch from the neck and supply the temporal area.
If the inflammation affects the arteries in your neck, upper body and arms, it is called giant cell arteritis.
The cause is unknown, but is believed to be partly due to a faulty immune response. The disorder has been associated with severe infections and the use of high doses of antibiotics.
",,,"GCA, Vasculitis",Autoimmune Disorders Vasculitis,
,Tetanus Immunisation,,,,,Immunisation - Non-live,
,Thalassaemia,"Thalassaemia are forms of inherited autosomal recessive blood disorders that originated in the Mediterranean region. In thalassemia, the disease is caused by the weakening and destruction of red blood cells. People with thalassemia make less haemoglobin and fewer circulating red blood cells than normal, which results in mild or severe anaemia.
Thalassemia major occurs when a child inherits two mutated genes, one from each parent. Children born with thalassemia major usually develop the symptoms of severe anaemia within the first year of life.
",Accept,,,,
,Thrombocytosis,"Thrombocytosis (or thrombocythaemia) is the presence of high platelet counts in the blood, and can be either primary (also termed essential and caused by a myeloproliferative disease) or reactive (also termed secondary). Although often symptomless (particularly when it is a secondary reaction), it can predispose to thrombosis in some patients.
Essential (primary) thrombocytosis is a form of myeloproliferative disorder such as chronic myelogenous leukemia, polycythemia vera, myelofibrosis.
Reactive (secondary) thrombocytosis is usually due to an inflammation such as a reaction to surgery or some other inflammatory disorders including autoimmune disorders.
","Accept if reactionary/secondary thrombocytosis
Must not donate if essential / primary thrombocytosis (considered a myeloproliferative disorder)
",,Thrombocythaemia,"Haemotological Disease
Polycythemia
",
,Thyroid Disease,"Hypothyroidism
Is a state in which the thyroid gland does not produce enough of the thyroid hormones thyroxine (T4) and triiodothyronine (T3). Iodine deficiency is the most common cause of hypothyroidism worldwide. In iodine-replete areas of the world, hypothyroidism is most commonly caused by Hashimoto's thyroiditis (an autoimmune disorder). Some drugs such as lithium and amiodarone can also cause disfunction.
Hyperthyroidism 
Often referred to as an overactive thyroid, is a condition in which the thyroid gland produces and secretes excessive amounts of the free thyroid hormones triiodothyronine (T3) and/or thyroxine (T4). The major causes in humans are Graves' disease (an autoimmune disease (usually, the most common aetiology) and 
Toxic thyroid adenoma (the most common aetiology in Switzerland, 53%, thought to be atypical due to a low level of dietary iodine in this country).
Often iodine-131 radioisotope therapy is given orally (either by pill or liquid) on a one-time basis, to severely restrict, or altogether destroy the function of a hyperactive thyroid gland.
Caution for donation if it is less than six months from treatment with radioactive iodine as it has a long half-life and is not readily cleared from the tissues.
",Accept,,,If related to malignancy see Malignancy,
,Tick-Borne Encephalitis,"Tick-borne encephalitis (TBE) is a viral infectious disease involving the central nervous system caused by tick-borne encephalitis virus, a member of the genus Flavivirus in the family Flaviviridae. It is transmitted by the bite of several species of infected ticks and most often manifests as meningitis, encephalitis, or meningoencephalitis. Long-lasting or permanent neuropsychiatric sequelae are observed in 10-20% of infected patients. Russia and Europe report about 5,000-7,000 human cases annually.",,,TBE,Infection - Acute,
,Tissue and Organ Recipients,"The TGA exclusion criteria for solid organ and tissue recipients relate to the TGA requirement - “A deceased donor who, within 12 months prior to asystole, has been a recipient of allogeneic organ(s), cells, or tissue that are not in accordance with the requirements of this Order (TGO 88)”.
Tissues are acceptable if transplanted in Australia as they will either be implanted more than 12 months prior to donation or they will be in accordance with the TGO 88.
The TGA exclusions for England, Scotland, Wales, Northern Ireland and Isle of Man are related to the risk of vCJD. 
There is evidence that human pituitary hormones and human dura mater have transmitted cCJD.
Exclusions 
NB: Immunosuppression at the levels encountered with organ recipients is theoretically capable of suppressing antibody responses to the extent that serological antibody tests would be invalidated. In these cases, NAT testing may be indicated to overcome this restriction.
","Accept recipient of solid human organs or tissue in Australia and New Zealand but note issues regarding immunosuppression. Must not donate if:
a) ever a recipient of human dura mater
b) ever a recipient of viable xenotransplant (cells or tissue)
c) ever a recipient of human pituitary derived hormone. Additional TGA criteria  Must not donate if:
a) a solid organ recipient within the last 12 months
b) a solid organ recipient in England, Scotland, Wales, Northern Ireland or the Isle of Man

",,,"Neurosurgery
Immunosuppression
Pituitary Extract
Transfusion
Xenotransplantation
",
,Tissue Products / Tissue grafts (Animal derived),"“Viable” in this sense means any non-human animal cell or tissue that is still considered in its natural living state and has not been treated in any way to inactivate its normal living functions. For example this would include the administration of animal blood or blood components and living organ, cell or tissue xenografts. The exclusionary purpose is to prevent the possible transmission of pathogenic zoonoses.
Animal derived products or non-viable derived products are specifically not excluded. This includes animal derived insulin and, for example, non-viable animal heart valves. Other likely products (in Australia) are those used in the context of haemostatic control. These products (such as Duragen, FloSeal, and Spongostan) are commonly used in neurosurgical procedures but also in AAA surgery and dental applications. All are TGA-approved products and therefore have met the criteria for TSE in that they are derived from TSE-free countries.
Duragen
http://www.integralife.com/products%2Fpdfs%2F418_DuraGen%20Plus%20Brochure.pdf
- dural regeneration matrix that is bovine derived (achilles tendon)
FloSeal Hemostatic matrix
http://www.baxterhealthcare.com.au/downloads/healthcare_professionals/cmi_pi/floseal_pi.pdf
- bovine derived matrix + human derived thrombin component
Spongostan
http://www.ferrosanmedicaldevices.com/Ferrosan2012/products2012/SPONGOSTAN.aspx
-Porcine derived gelatin product
","Accept if the product has been approved by the regulator for human use(TGA in Australia, MedSafe in NZ)
Must not donate if the product was not regulator approved, or was a “viable” non-human animal cell or tissue
",,,,
,Toxoplasmosis,"Toxoplasmosis is a parasitic disease caused by the protozoan Toxoplasma gondii. The parasite infects most warm-blooded animals, including humans, but the primary host is the cat family. In humans, contamination of hands with cat faecal material is a significant risk factor.
It is a common parasitic infection with, for example, the Centers for Disease Control placing the seroprevalence in the US population at more than 10%. 
Usually it does not cause symptoms as the body’s immune system easily overcomes the parasite. During the first few weeks after exposure, the infection typically causes a mild, flu-like illness or no illness.
However, those with weakened immune systems, such as those with AIDS and pregnant women, may become seriously ill. The parasite can cause encephalitis (inflammation of the brain) and neurologic diseases, and can affect the heart, liver, inner ears, and eyes (chorioretinitis). Recent research has also linked toxoplasmosis with attention deficit hyperactivity disorder, obsessive compulsive disorder, and schizophrenia. Numerous studies found a positive correlation between latent toxoplasmosis and suicidal behaviour in humans.
Corneas are avascular and therefore there is considered to be no risk of transmitting a protozoal infection.
",Accept,,,,
,Transfusion,"Treatment with Blood Components, Products and Derivatives

The TGA considers any transfusion that is not in accordance with the requirements of Therapeutic Goods Order No. 88 - Standards for donor selection, testing and minimising infectious disease transmission via therapeutic goods that are human blood and blood components, human tissues and human cellular therapy products – must not donate if within a six or four month period. In practice all transfusions conducted within Australia will now be in accordance with TGO 85 and therefore acceptable. All other transfusions are only acceptable after a 6 month (4 month with HCV NAT) exclusionary period.
There is additional exclusion of - must not donate if ever received treatment with blood, blood components, products and derivatives  in England, Scotland, Wales, Northern Ireland or the Isle of Man. For New Zealand, the blood supply (and blood products) of both New Zealand and Australia are considered “safe” and therefore acceptable. (the TGA however only considers Australian transfusion to be “safe”). Elsewhere the six or four month rule will apply.
Treatment with blood, blood components, products and derivatives at in England, Scotland, Wales, Northern Ireland or the Isle of Man is an exclusion for Australia due to TGA mandatory assessment of vCJD risk. 
Note the rules for plasma dilution testing of donor samples.
","Must not donate if a recipient of allogeneic blood, blood components or human derived clotting factors outside of Australia or New Zealand within the past six months (or 4 months if NAT HCV is performed). There is additional exclusion of - must not donate if ever received treatment with blood, blood components, products and derivatives  in England, Scotland, Wales, Northern Ireland or the Isle of Man.",,,"Immunoglobulin Therapy
Immunosuppression
Malaria
Prion Associated Diseases
South American Trypanosomiasis Risk
Plasma Dilution
",
,Trauma,,,,,Accident,
,Travel,"For those reporting any travel overseas in the past 12 months:
1. Consider if there is any relation between the signs and symptoms of any reported illness while travelling or upon return (even if resolved), and the risk profile of travel to particular geographical areas (the links below provide a good up to date resource)
2. Consider risk of exposure/contact with any significant current epidemiological situations (eg. Ebola, SARS, Dengue Fever).

The “UK exclusion rule for risk of vCJD applies”.
Must  not donate:
a) Individuals who donors who have lived in or visited England, Scotland, Wales, Northern Ireland or the Isle of Man for a cumulative period of six months or more, between 1st January 1980 and 31st December 1996 inclusive.
b) individuals who have received a transfusion or injection of blood or blood components while in England, Scotland, Wales, Northern Ireland or the Isle of Man at any time since 1st January 1980 onward.

","Accept if no relationship between illnes and travel and the donor is not otherwise medically contraindicated. If a relationship to a particular disease is possible, cross-check the entry for that disease and act upon the advice. The “UK exclusion rule for risk of vCJD applies”.
Must  not donate:
a) Individuals who donors who have lived in or visited England, Scotland, Wales, Northern Ireland or the Isle of Man for a cumulative period of six months or more, between 1st January 1980 and 31st December 1996 inclusive.
b) individuals who have received a transfusion or injection of blood or blood components while in England, Scotland, Wales, Northern Ireland or the Isle of Man at any time since 1st January 1980 onward.",,,"United Kingdom’s Geographical Disease Risk Index http://www.transfusionguidelines.org.uk/Index.aspx?Publication=GDRI&Section=66&pageid=7631
The Centers for Disease Control and Prevention (CDC) also have valuable current information on disease outbreaks by geography http://www.cdc.gov/
The Australian Travel Advisory
http://www.smartraveller.gov.au/zw-cgi/view/Advice/
Malaria
South American Trypanosomiasis
Infection – Tropical
Prion Disease
",
,Trisomy 21 (Down's Syndrome),,Must not donate,,,Down's Syndrome,
,Trypanosoma Cruzi Infection,,,,,Chagas' Disease,
